Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2024,Jaden Shirden,Monmouth (NJ),RB,67.50,187,9.25,28.75,,4.45,,34.5,117,,,
2024,Jaylin Simpson,Auburn,FS,71.75,179,9.88,32.38,,4.45,,39.5,133,,,
2024,Ben Sinnott,Kansas State,TE,76.00,250,9.50,32.38,,4.68,,40.0,126,4.23,6.82,
2024,Kedon Slovis,Brigham Young,QB,74.63,223,9.88,31.13,,4.55,,30.0,118,,,
2024,Ainias Smith,Texas A&M,WR,69.25,190,8.50,29.00,,,21,,,,,
2024,Maason Smith,Louisiana State,DT,77.00,306,8.50,35.00,,5.01,,31.0,108,4.69,7.62,
2024,Tykee Smith,Georgia,FS,69.75,202,9.25,31.63,,4.46,,36.0,120,,,
2024,Chau Smith-Wade,Washington State,CB,70.00,184,9.13,30.25,,4.54,18,34.5,125,4.32,7.05,
2024,Javon Solomon,Troy (AL),OLB,72.75,246,10.75,33.88,,4.72,,37.0,119,,,
2024,Brevyn Spann-Ford,Minnesota,TE,78.63,260,10.25,33.38,,4.77,,31.5,116,,7.38,
2024,Tarheeb Still,Maryland,CB,71.75,189,9.13,29.63,,4.52,,38.0,120,,,
2024,Cade Stover,Ohio State,TE,76.00,247,9.75,32.75,,4.65,,34.5,117,4.45,,
2024,Kingsley Suamataia,Brigham Young,OT,76.75,326,10.63,34.25,,5.04,,,,,,
2024,Jalen Sundell,North Dakota State,C,76.50,300,9.50,33.13,,,,,,,,
2024,TVondre Sweat,Texas,DT,76.63,366,10.13,33.25,,5.27,,26.0,98,,,
2024,T.J. Tampa,Iowa State,CB,73.00,189,9.63,32.50,,,,,,,,
2024,Leonard Taylor,Miami (FL),DT,75.63,303,9.00,33.88,,5.12,,30.0,109,,7.81,
2024,Dadrion Taylor-Demerson,Texas Tech,FS,70.00,197,9.63,30.88,,4.41,,38.0,123,,,
2024,Brian Thomas,Louisiana State,WR,75.25,209,9.75,32.75,,4.33,11,38.5,126,,,
2024,Nathan Thomas,Louisiana-Lafayette,OT,76.75,332,10.75,33.75,,5.19,,,,,8.01,
2024,Xavier Thomas,Clemson,DE,73.75,244,9.13,32.88,,4.62,,32.5,120,,,
2024,Jamari Thrash,Louisville,WR,71.75,188,8.63,31.00,,4.46,,34.0,120,,7.16,
2024,Ro Torrence,Arizona State,CB,74.75,208,8.50,34.13,,,,,,,,
2024,Tyrone Tracy,Purdue,RB,70.88,209,9.13,31.75,,4.48,,40.0,124,,,
2024,Jordan Travis,Florida State,QB,72.63,200,9.00,31.38,,,,,,,,
2024,Bralen Trice,Washington,DE,75.63,245,9.00,32.50,,4.72,,,,,,
2024,Jeremiah Trotter,Clemson,ILB,71.75,228,9.25,31.50,,,21,,,4.40,7.13,
2024,Zion Tupuola-Fetui,Washington,DE,75.00,244,10.63,33.38,,,,,,,,
